央视频道,#genre#
CCTV3,https://vdochile.com:3697/live/ctv35live.m3u8
CCTV8,https://server.dtvhd.com/memfs/92d5968d-1b58-486d-a1ba-7b5a3f21c16c.m3u8
CGTN,http://live.happywatch99.com/livehd10/02587745dbd71d978954203d7ec78497.sdp/playlist.m3u8
CGTN纪录,https://amg00405-rakutentv-cgtndocumentary-rakuten-0ql8j.amagi.tv/master.m3u8
CGTN纪录,https://mn-nl.mncdn.com/dogusdyg_drone/cgtn/playlist.m3u8

卫视频道,#genre#
内蒙古卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225667/index.m3u8
内蒙古卫视,http://117.169.120.140:8080/live/neimenggustv/.m3u8
内蒙古卫视,http://183.207.248.71/gitv/live1/G_NEIMENGGU/G_NEIMENGGU
内蒙古卫视,http://223.110.245.173/PLTV/4/224/3221225836/index.m3u8
厦门卫视,http://223.110.245.159/ott.js.chinamobile.com/PLTV/3/224/3221226996/index.m3u8
四川卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225733/index.m3u8
大湾区卫视,http://video10.qtv.com.cn/drm/qtv2at/manifest.m3u8
大湾区卫视,https://canli.tv42.com.tr/memfs/d936e417-c4bd-4d42-89a2-02f289892d1d.m3u8
大湾区卫视,https://tvr-2.lg.mncdn.com/tvr2/smil:tvr2.smil/playlist.m3u8
宁夏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225726/index.m3u8
山东卫视,http://125.210.152.18:9090/live/SDWSHD_H265.m3u8
山西卫视,http://220.194.178.58:8888/newlive/live/hls/53/live.m3u8
广西卫视,http://118.81.195.79:9003/hls/27/index.m3u8
新疆卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225725/index.m3u8
新疆卫视,http://183.207.248.71/cntv/live1/xinjiangstv/xinjiangstv
新疆卫视,http://183.207.248.71/gitv/live1/G_XINJIANG/G_XINJIANG
新疆卫视,http://183.207.249.15/PLTV/3/224/3221225523/index.m3u8
新疆卫视,http://223.110.243.136/PLTV/3/224/3221225523/index.m3u8
新疆卫视,http://112.25.48.68/live/program/live/xjws/1300000/mnf.m3u8
河北卫视,http://121.19.134.246:808/hls/22/index.m3u8
海南卫视,http://118.81.195.79:9003/hls/28/index.m3u8
甘肃卫视,http://118.81.195.79:9003/hls/25/index.m3u8
西藏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225723/index.m3u8
西藏卫视,http://117.169.120.140:8080/live/xizangstv/.m3u8
西藏卫视,http://183.207.249.16/PLTV/3/224/3221225523/index.m3u8
贵州卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225728/index.m3u8
贵州卫视,http://183.207.248.71/gitv/live1/G_GUIZHOU/G_GUIZHOU
陕西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225729/index.m3u8
陕西卫视,http://223.110.245.139/PLTV/4/224/3221227022/index.m3u8
陕西卫视,http://112.25.48.68/live/program/live/sxws/1300000/mnf.m3u8
黑龙江卫视,http://125.210.152.18:9090/live/HLJWSHD_H265.m3u8
黑龙江卫视,http://118.81.195.79:9003/hls/31/index.m3u8

中数传媒,#genre#
发现之旅,http://125.210.152.18:9090/live/FXZL_750.m3u8

港台节目,#genre#
凤凰中文,http://223.110.245.139/ott.js.chinamobile.com/PLTV/3/224/3221226922/index.m3u8
凤凰资讯,http://223.110.245.167/ott.js.chinamobile.com/PLTV/3/224/3221226923/index.m3u8
凤凰香港,http://223.110.245.136/PLTV/3/224/3221226975/index.m3u8

【宝岛】綜合&其它,#genre#
博斯運動一台,https://yeslivetv.com/twiptv/litv-longturn05/index.m3u8

【體育】,#genre#
SPOTV 1,http://88.212.15.19/live/test_sport1_25p/playlist.m3u8
SPOTV 1,http://znty.dyndns.org:5010/hls/stv1.m3u8
SPOTV 2,http://88.212.15.19/live/test_sport_2/playlist.m3u8
SPOTV 2,http://46.149.191.217:9018/play/a01e
SPOTV 2,http://znty.dyndns.org:5010/hls/stv2.m3u8

上海节目,#genre#
五星体育,http://223.110.245.147/ott.js.chinamobile.com/PLTV/3/224/3221226799/index.m3u8

广东频道,#genre#
河源综合,https://tmpstream.hyrtv.cn/xwzh/sd/live.m3u8

Movies,#genre#
&TV HD (720p),https://trs1.aynaott.com/andtvhd/index.m3u8
&TV International (1080p),https://amg01117-amg01117c1-amgplt0029.playout.now3.amagi.tv/playlist/amg01117-amg01117c1-amgplt0029/playlist.m3u8
&flix HD (1080p),http://103.72.101.252:8080/live/1322.m3u8
&pictures (720p),https://trs1.aynaott.com/andpictureshd/index.m3u8
