

经典轮播,#genre#

成龙,http://39.153.130.167:35455/huya/11342386
成龙,http://aiony.top:35455/huya/11342386
黄渤,http://39.153.130.167:35455/huya/11352876
黄渤,http://aiony.top:35455/huya/11352876
沈腾,http://39.153.130.167:35455/huya/11601968
沈腾,http://aiony.top:35455/huya/11601968
徐克,http://39.153.130.167:35455/huya/11352909
徐克,http://aiony.top:35455/huya/11352909
周星驰,http://39.153.130.167:35455/huya/11342412
周星驰,http://aiony.top:35455/huya/11342412
李连杰,http://39.153.130.167:35455/huya/11342390
李连杰,http://aiony.top:35455/huya/11342390
刘德华,http://39.153.130.167:35455/huya/11342424
刘德华,http://aiony.top:35455/huya/11342424
周润发,http://39.153.130.167:35455/huya/11342387
周润发,http://aiony.top:35455/huya/11342387
梁家辉,http://39.153.130.167:35455/huya/11342429
梁家辉,http://aiony.top:35455/huya/11342429

甄子丹,http://39.153.130.167:35455/huya/11352935
甄子丹,http://aiony.top:35455/huya/11352935
释小龙,http://39.153.130.167:35455/huya/21059599
释小龙,http://aiony.top:35455/huya/21059599
五福星,http://39.153.130.167:35455/huya/11282233
五福星,http://aiony.top:35455/huya/11282233
洪金宝,http://39.153.130.167:35455/huya/11279251
洪金宝,http://aiony.top:35455/huya/11279251
斯坦森,http://39.153.130.167:35455/huya/21059588
斯坦森,http://aiony.top:35455/huya/21059588
林正英,http://39.153.130.167:35455/huya/11342421
林正英,http://aiony.top:35455/huya/11342421
功夫电影,http://cfss.cc/cdn/hy/11352941.m3u8
猫和老鼠,http://cfss.cc/cdn/hy/11352879.m3u8
强森电影,http://cfss.cc/cdn/hy/21059581.m3u8
金庸武侠,http://cfss.cc/cdn/hy/11342435.m3u8
武侠剧集,http://cfss.cc/cdn/hy/11342427.m3u8
玄幻电影,http://cfss.cc/cdn/hy/11342414.m3u8
国产剧集,http://cfss.cc/cdn/hy/11352973.m3u8
不挤影院,http://cfss.cc/cdn/hy/11352897.m3u8
许氏三杰,http://cfss.cc/cdn/hy/11602033.m3u8
高分动作,http://cfss.cc/cdn/hy/11352884.m3u8
欢笑影院,http://cfss.cc/cdn/hy/11352894.m3u8
国产悬疑,http://cfss.cc/cdn/hy/11342395.m3u8
黑帮斗争,http://cfss.cc/cdn/hy/11342419.m3u8
喜乐影院,http://cfss.cc/cdn/hy/21059580.m3u8
家庭剧场,http://gdctyuncdnct.inter.ptqy.gitv.tv:80/tslive/c54_fast_877_720P_t10/c54_fast_877_720P_t10.m3u8?d

传奇剧场,http://lvbaiducdnct.inter.ptqy.gitv.tv:80/tslive/c54_fast_1052_720P_t10/c54_fast_1052_720P_t10.m3u8?d
欢乐剧场,http://newstreamcdnct.inter.ptqy.gitv.tv:80/tslive/c56_fast_951_720P_t10/c56_fast_951_720P_t10.m3u8?d
经典老剧,http://gdctyuncdnct.inter.ptqy.gitv.tv:80/tslive/c55_fast_1051_720P_t10/c55_fast_1051_720P_t10.m3u8?d
乡村剧场,http://newstreamcdnct.inter.ptqy.gitv.tv:80/tslive/c59_fast_1050_720P_t10/c59_fast_1050_720P_t10.m3u8?d
电影大片,http://newstreamcdnct.inter.ptqy.gitv.tv:80/tslive/c57_fast_738_720P_t10/c57_fast_738_720P_t10.m3u8?d
爆笑综艺,http://newstreamcdnct.inter.ptqy.gitv.tv:80/tslive/c57_fast_954_720P_t10/c57_fast_954_720P_t10.m3u8?d
智勇闯关,http://lvbaiducdnct.inter.ptqy.gitv.tv:80/tslive/c60_fast_1027_720P_t10/c60_fast_1027_720P_t10.m3u8?d
相声小品,http://newstreamcdnct.inter.ptqy.gitv.tv:80/tslive/c59_fast_1044_720P_t10/c59_fast_1044_720P_t10.m3u8?d
中国通史,http://lvbaiducdnct.inter.ptqy.gitv.tv:80/tslive/c60_fast_1029_720P_t10/c60_fast_1029_720P_t10.m3u8?d
世界历史,http://newstreamcdnct.inter.ptqy.gitv.tv:80/tslive/c60_fast_1026_720P_t10/c60_fast_1026_720P_t10.m3u8?d
传奇故事,http://newstreamcdnct.inter.ptqy.gitv.tv:80/tslive/c60_fast_1037_720P_t10/c60_fast_1037_720P_t10.m3u8?d
