
📢12.23公告,#genre#

CCTV4K,http://198.204.240.250:82/live/cctv4k.m3u8?jsbt=1760148172&jsbk=8ce47519e62b009dfa80f8fbfb2dd932
CCTV4K,http://198.204.240.250:82/live/cctv4k.m3u8?jsbt=1760495957&jsbk=138a7cd8fb02f369c744cf0ceb413e85
凤凰中文HD,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰咨询HD,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx2
🎶点歌台频道1,http://huanqiuzhibo.cn/manifest/douyu.php?id=20415 
🎶周杰伦MV,http://huanqiuzhibo.cn/manifest/douyu.php?id=122402
🎵音乐台长,http://www.douzhicloud.site:35455/douyu/9629943
❤️舞蹈,http://lxajh.top/tv/douyu.php?id=10308225
❤️4K视频,http://xjj1.716888.xyz/fenlei/4k/4k.php
❥抖音女神,https://api.e1e1.top/crosswise/cw.php
❥韩国舞曲,https://xn--vusr00g.v.nxog.top/m/tv/xjj.php?id=0
❥法国时尚,http://lb.streaming.sk/fashiontv/stream/chunklist.m3u8
湖南4K,http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/dWlwPTEyNy4wLjAuMSZ1aWQ9cWluZy1jbXMmbm5fdGltZXpvbmU9OCZjZG5leF9pZD1hbF9obHNfbGR2dCZ1dWlkPTliODY4NmU5ZTM2YzYwMmMmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8
浙江4K,https://play-qukan.cztv.com/live/1758879019692345.m3u8
河北4K,https://event.pull.hebtv.com:443/live/live101.m3u8
苏州4K,https://tylive.kan0512.com/norecord/csztv4k_4k.m3u8
河北4K,https://event.pull.hebtv.com:443/live/live101.m3u8
苏州4K,https://tylive.kan0512.com/norecord/csztv4k_4k.m3u8
河北4K,https://event.pull.hebtv.com:443/live/live101.m3u8
河北4K,http://106.53.99.30/tv/api.php?id=hebtv4k
苏州4K,http://106.53.99.30/tv/api.php?id=sztv4k
广州南国都市4K,https://tencentplaybusiness.gztv.com/live/nanguodushi.m3u8
湖南4K,http://36.99.188.2:2380/js-live-screenshot.gitv.tv/gitv_live/G_HUNAN-4K/G_HUNAN-4K.m3u8
江苏4K,http://36.99.188.2:2380/js-live-screenshot.gitv.tv/gitv_live/G_JIANGSU-4K/G_JIANGSU-4K.m3u8
浙江4K,https://play-qukan.cztv.com/live/1758879019692345.m3u8
东方4K,http://cdn.jdshipin.com/kkxw.php?id=1
深圳4K,https://cdn3.163189.xyz/163189/szws4k
苏州4K,https://live-auth.51kandianshi.com/szgd/csztv4k_hd.m3u8
湖南4K,http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/dWlwPTEyNy4wLjAuMSZ1aWQ9cWluZy1jbXMmbm5fdGltZXpvbmU9OCZjZG5leF9pZD1hbF9obHNfbGR2dCZ1dWlkPTliODY4NmU5ZTM2YzYwMmMmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8
CCTV4K,http://36.99.188.2:2380/js-live-screenshot.gitv.tv/gitv_live/G_CCTV-4K-HD/G_CCTV-4K-HD.m3u8
北京卫视频4k,http://106.53.99.30/tv/bj.php?id=bjws4k
东方卫视频4k,http://106.53.99.30/tv/api.php?id=dfws4k
深圳卫视频4k,http://106.53.99.30/tv/api.php?id=szws4k
北京4k,http://ddns.xryo.cn:8888/udp/239.111.205.51:5140
东方4k,http://ddns.xryo.cn:8888/udp/239.111.205.67:5140
浙江4k,http://ddns.xryo.cn:8888/udp/239.111.205.65:5140
江苏4k,http://ddns.xryo.cn:8888/udp/239.111.205.64:5140
湖南4k,http://ddns.xryo.cn:8888/udp/239.111.205.63:5140
广东4k,http://ddns.xryo.cn:8888/udp/239.111.205.103:5140
深圳4k,http://ddns.xryo.cn:8888/udp/239.111.205.104:5140
山东4k,http://ddns.xryo.cn:8888/udp/239.111.205.66:5140
四川4k,http://ddns.xryo.cn:8888/udp/239.111.205.62:5140


❤️感谢支持,https://i.uik.cc/view.php/76bc8f27068f76f69f00a699e5cf73d8.mp4
❤️感谢支持,https://cccimg.com/view.php/76bc8f27068f76f69f00a699e5cf73d8.mp4

🚀港澳台频,#genre#
