⚽世界杯⚽,#genre#
风云足球,http://173.208.187.18:82/live/fyzq.m3u8?jsbt=1760355398&jsbk=d838949ce8ba43fabfa8e16a02449bcf
风云足球,http://173.208.187.18:82/live/fyzq.m3u8?jsbt=1760496962&jsbk=5b91869c876cff30aa885075cffa7b45
劲爆体育,http://live2.rxip.sc96655.com/live/lqhxjcHDH265_4000.m3u8?E=1&U=1&A=1&K=1&P=1&S=1
CCTV5体育,http://live2.rxip.sc96655.com/live/CCTV-5H265_4000.m3u8?E=1705159521&U=8ef008e8-6af1-4126-88d6-ab2793cb12da&A=1&K=9&P=011&S=10bd15e08aa7c4de538b767ae2618279a6213e3e
睛彩竞技,http://feilong123.vip/409990236/iptv/gdy.php?id=24
睛彩篮球,http://feilong123.vip/409990236/iptv/gdy.php?id=2
睛彩篮球,http://feilong123.vip/409990236/iptv/gdy.php?id=23
🔥央卫🔥,#genre#
CCTV1,http://69.30.245.50/live/cctv1.m3u8
CCTV2,http://69.30.245.50/live/cctv2.m3u8
CCTV3,http://69.30.245.50/live/cctv3.m3u8
CCTV4,http://69.30.245.50/live/cctv4.m3u8
CCTV5,http://69.30.245.50/live/cctv5.m3u8
CCTV6,http://69.30.245.50/live/cctv6.m3u8
CCTV7,http://69.30.245.50/live/cctv7.m3u8
CCTV8,http://69.30.245.50/live/cctv8.m3u8
CCTV9,http://69.30.245.50/live/cctv9.m3u8
CCTV17,http://74.91.26.218:82/live/cctv17hd.m3u8
CCTV16,http://74.91.26.218:82/live/cctv16hd.m3u8
CCTV15,http://74.91.26.218:82/live/cctv15hd.m3u8
CCTV14,http://74.91.26.218:82/live/cctv14hd.m3u8
CCTV12,http://74.91.26.218:82/live/cctv12hd.m3u8
CCTV11,http://74.91.26.218:82/live/cctv11hd.m3u8
CCTV10,http://74.91.26.218:82/live/cctv10hd.m3u8
CCTV9,http://74.91.26.218:82/live/cctv9hd.m3u8
CCTV8,http://74.91.26.218:82/live/cctv8hd.m3u8
CCTV7,http://74.91.26.218:82/live/cctv7hd.m3u8
CCTV6,http://74.91.26.218:82/live/cctv6hd.m3u8
CCTV5+,http://74.91.26.218:82/live/cctv5p.m3u8
CCTV5,http://74.91.26.218:82/live/cctv5hd.m3u8
CCTV4,http://74.91.26.218:82/live/cctv4hd.m3u8
CCTV3,http://74.91.26.218:82/live/cctv3hd.m3u8
CCTV2,http://74.91.26.218:82/live/cctv2hd.m3u8
CCTV13,http://74.91.26.218:82/live/cctv13hd.m3u8
